i_stop_id,i_id_pers,i_id_session,dt_start_paris,dt_end_paris,i_pid_start,i_pid_end,i_duration_secs,geom_2154
1,8,0,2019-07-08 05:17:16,2019-07-08 05:29:31,17342,17440,735,01010000206A080000E0C2D7A578DF2B41A8112AE048A25841
2,8,0,2019-07-08 05:36:41,2019-07-08 05:39:21,17526,17558,160,01010000206A080000941173E932E72B41F5313DE118A15841
3,8,0,2019-07-08 05:56:41,2019-07-08 06:04:21,17766,17830,460,01010000206A080000A2695848BA012C41FE222903DEA25841
4,8,0,2019-07-08 10:55:15,2019-07-08 11:16:15,17905,18156,1260,01010000206A08000030FE3F5B84002C411E4C1E1740A35841
5,8,0,2019-07-08 11:21:40,2019-07-08 11:46:18,18221,18372,1478,01010000206A080000908F9757B0012C411CC19609E6A25841
6,8,0,2019-07-08 11:58:38,2019-07-08 14:20:02,18503,18519,8484,01010000206A0800000EA19AABF9FC2B417D528D5751A35841
7,8,0,2019-07-08 14:30:37,2019-07-08 15:41:54,18645,18888,4277,01010000206A08000006B174DA64012C4112B83303EEA25841
8,8,0,2019-07-08 16:09:09,2019-07-08 17:04:27,19212,19498,3318,01010000206A080000AFE7BB3B59DF2B416AEE956549A25841
9,8,0,2019-07-08 17:10:02,2019-07-08 17:34:57,19565,19864,1495,01010000206A0800004A8F1546AFE12B4138F38CBA51A25841
10,8,0,2019-07-08 17:41:17,2019-07-09 05:49:28,19939,20731,43691,01010000206A08000015AE758F83DF2B411EDF9BDC4BA25841
11,8,0,2019-07-09 05:57:43,2019-07-09 05:59:13,20830,20848,90,01010000206A0800001AC6743E65DD2B41FAA61B62A0A25841
12,8,0,2019-07-09 06:27:33,2019-07-09 07:06:19,21050,21102,2326,01010000206A080000FD79124585012C4196628C84E3A25841
13,8,0,2019-07-09 07:10:49,2019-07-09 10:25:39,21126,21188,11690,01010000206A080000DC0DA6EC7A012C4143775642EAA25841
14,8,0,2019-07-09 10:30:19,2019-07-09 11:19:29,21244,21834,2950,01010000206A0800009E5EAFF695002C4118FA934039A35841
15,8,0,2019-07-09 11:23:29,2019-07-09 11:34:29,21882,21964,660,01010000206A0800003D2901D1A3012C418D09B992E5A25841
16,8,0,2019-07-09 12:40:54,2019-07-09 14:39:33,22033,22938,7119,01010000206A08000054A7C981B6012C41736E692EE1A25841
17,8,0,2019-07-09 14:42:08,2019-07-09 14:54:13,22961,23009,725,01010000206A080000A93F1F8E6A012C41F61A42D7EFA25841
18,8,0,2019-07-09 14:55:03,2019-07-09 16:03:30,23015,23348,4107,01010000206A080000981A6DA4C0012C4128CACFFDDDA25841
19,8,0,2019-07-09 16:06:15,2019-07-09 16:10:55,23377,23417,280,01010000206A080000B237A5699C012C411030465BD6A25841
20,8,0,2019-07-09 16:13:10,2019-07-09 16:20:55,23437,23478,465,01010000206A080000E8BFC0AC8A012C41469140CAD0A25841
21,8,0,2019-07-09 16:25:10,2019-07-09 16:25:40,23503,23509,30,01010000206A080000CB5065282D022C41EAE92B9CDAA25841
22,8,0,2019-07-09 16:33:25,2019-07-09 16:34:40,23602,23617,75,01010000206A080000194E06E5AEF12B41FE7A225CB4A25841
23,8,0,2019-07-09 16:42:40,2019-07-09 16:42:45,23713,23714,5,01010000206A0800001076BF35BDE32B41D6B6B366DDA15841
24,8,0,2019-07-09 16:52:25,2019-07-09 17:18:25,23810,23864,1560,01010000206A080000F860CAF352DF2B41383148A449A25841
25,8,0,2019-07-09 17:28:00,2019-07-09 17:28:15,23979,23982,15,01010000206A080000BEA07177E3E32B41A4A772E283A25841
26,8,0,2019-07-09 17:34:50,2019-07-09 18:14:39,24061,24491,2389,01010000206A0800004D156A62BEE32B41D059A83E87A25841
27,8,0,2019-07-10 06:56:05,2019-07-10 06:57:50,24517,24538,105,01010000206A080000E427C01344E32B4116CC3BA8D9A15841
28,8,0,2019-07-10 06:59:10,2019-07-10 08:08:38,24554,25047,4168,01010000206A0800004B8BB47A81E42B41EBFA3735B1A15841
29,8,0,2019-07-10 08:13:38,2019-07-10 08:16:18,25107,25130,160,01010000206A08000064F9621291DF2B4127960F9651A25841
30,8,0,2019-07-10 08:16:38,2019-07-10 10:43:44,25131,25625,8826,01010000206A08000031D3C9591CDF2B41FE8FE74A4AA25841
31,8,0,2019-07-10 11:33:35,2019-07-10 11:34:00,25632,25637,25,01010000206A080000CE877ABC8CE22B41C2E482344DA25841
32,8,0,2019-07-10 11:38:20,2019-07-10 13:47:35,25689,25704,7755,01010000206A08000012D2646945DF2B41DCA6C25049A25841
33,8,0,2019-07-10 14:01:35,2019-07-10 14:32:45,25826,25842,1870,01010000206A080000CA326AA132DA2B41D2ADC02EE6A05841
34,8,0,2019-07-10 14:36:35,2019-07-10 15:31:30,25887,25888,3295,01010000206A08000012B65ECAA5DA2B4130DABFAAAEA05841
35,8,0,2019-07-10 15:33:15,2019-07-10 16:27:23,25909,25945,3248,01010000206A080000B2D84821F8DA2B41B5C998A8D9A05841
36,8,0,2019-07-10 16:30:28,2019-07-10 16:31:08,25982,25990,40,01010000206A080000E199DBBD1DDE2B4113C2652A21A15841
37,8,0,2019-07-10 16:36:13,2019-07-10 17:09:28,26051,26167,1995,01010000206A08000019F1A9372CE52B41FFAF7B9B44A15841
38,8,0,2019-07-10 17:16:08,2019-07-10 17:38:49,26247,26366,1361,01010000206A080000B28151E72CDF2B411FCBE58149A25841
39,8,0,2019-07-10 17:47:14,2019-07-10 17:49:09,26467,26490,115,01010000206A08000066C2BF1202DF2B413685A3ADC9A15841
40,8,0,2019-07-10 18:00:04,2019-07-10 20:05:24,26621,28100,7520,01010000206A08000001C077A550EB2B41E8F3B80121A25841
41,8,0,2019-07-10 20:06:24,2019-07-10 20:14:19,28112,28207,475,01010000206A080000D63F87E42BEB2B418A66469028A25841
42,8,0,2019-07-10 20:19:24,2019-07-10 20:23:49,28268,28321,265,01010000206A080000EA1694F8AAE82B414A8494343BA25841
43,8,0,2019-07-11 06:35:04,2019-07-11 10:07:40,28702,28759,12756,01010000206A0800000A4DAEDC13022C418222F7CEDCA25841
44,8,0,2019-07-11 10:23:35,2019-07-11 11:44:45,28950,29912,4870,01010000206A080000FEC78E69BACF2B41F1E74448C99F5841
45,8,0,2019-07-11 11:47:05,2019-07-11 11:47:25,29939,29943,20,01010000206A080000878DB113F9CE2B41AA6E338515A05841
46,8,0,2019-07-11 11:59:45,2019-07-11 16:43:40,30090,30165,17035,01010000206A080000D0D1557B3D022C419626A092E2A25841
47,8,0,2019-07-11 17:03:05,2019-07-11 17:03:55,30397,30407,50,01010000206A0800008018041D29E62B414B99B6D5E4A25841
48,8,0,2019-07-11 17:11:10,2019-07-11 17:11:50,30494,30502,40,01010000206A0800001EFBAEE62FDE2B41EDE8645FF2A25841
49,8,0,2019-07-11 17:21:40,2019-07-11 18:13:05,30620,30715,3085,01010000206A080000BA70755471DF2B41356CD5124BA25841
50,8,0,2019-07-11 18:23:35,2019-07-11 21:53:00,30841,32034,12565,01010000206A080000AE84877F0DDB2B41A6816101BFA25841
51,8,0,2019-07-11 22:05:40,2019-07-12 06:10:55,32184,32309,29115,01010000206A080000109170A388DF2B416CDB38A84FA25841
52,8,0,2019-07-12 06:16:55,2019-07-12 06:17:50,32380,32391,55,01010000206A080000C67B28CFE8E42B41B1BD5E783DA15841
53,8,0,2019-07-12 06:37:05,2019-07-12 10:53:01,32622,32841,15356,01010000206A080000377F4DA8B7012C41072ACDAADEA25841
54,8,0,2019-07-12 10:56:06,2019-07-12 11:02:01,32866,32894,355,01010000206A080000860E0789B7012C415D7CB2E1B7A25841
55,8,0,2019-07-12 11:08:36,2019-07-12 11:50:21,32972,33473,2505,01010000206A080000EAAA28A282FE2B4152E5756E11A35841
56,8,0,2019-07-12 11:57:11,2019-07-12 12:09:51,33552,33615,760,01010000206A08000095D0361636012C41C1CD2CB2E0A25841
57,8,0,2019-07-12 12:12:11,2019-07-12 13:51:27,33640,33943,5956,01010000206A08000040B8E37896012C4184777580DFA25841
58,8,0,2019-07-12 13:53:32,2019-07-12 14:41:02,33954,34422,2850,01010000206A080000B92B060ED2012C412704E644DCA25841
59,8,0,2019-07-12 14:43:02,2019-07-12 15:10:17,34436,34716,1635,01010000206A0800009F0BA4DED1012C4120C83532E2A25841
60,8,0,2019-07-12 15:36:32,2019-07-12 15:40:52,35030,35074,260,01010000206A080000D699D0843ADD2B41162363C798A25841
61,12,0,2019-07-15 09:55:57,2019-07-15 10:50:27,35076,35448,3270,01010000206A080000598809E6E2E62B41B6E2D56936A05841
62,12,0,2019-07-15 10:53:17,2019-07-15 11:01:37,35457,35466,500,01010000206A0800001C236C58D5E62B415101CB1D24A05841
63,12,0,2019-07-15 16:38:52,2019-07-15 16:43:17,35715,35762,265,01010000206A080000A84515191F282C41B4950F845DA05841
64,12,0,2019-07-15 16:47:52,2019-07-15 16:50:12,35817,35844,140,01010000206A080000346605DDF32A2C41BEF8E0790E9F5841
65,12,0,2019-07-15 16:53:37,2019-07-15 18:35:32,35885,36785,6115,01010000206A08000003C9B89B12282C41208484995FA05841
66,12,0,2019-07-16 06:27:59,2019-07-16 08:39:03,36957,38469,7864,01010000206A0800005B918264D5FC2B41408C6D6B5AA45841
67,12,0,2019-07-16 08:40:08,2019-07-16 08:40:33,38478,38483,25,01010000206A080000080BF939B4FC2B41A496526C57A45841
68,12,0,2019-07-16 08:58:18,2019-07-16 10:46:03,38693,38748,6465,01010000206A080000F21C98FB29E72B41522AF5203EA05841
69,12,0,2019-07-16 11:40:33,2019-07-16 12:11:18,38782,38863,1845,01010000206A08000037616625BDE62B418DC7E1952DA05841
70,12,0,2019-07-16 12:13:03,2019-07-16 15:52:09,38882,38923,13146,01010000206A0800006B6AF633BBE62B412B53E0C334A05841
71,12,0,2019-07-16 16:17:46,2019-07-17 06:33:10,39177,40584,51324,01010000206A0800009242112726282C4160EEB0585FA05841
72,12,0,2019-07-17 06:37:50,2019-07-17 06:59:40,40640,40766,1310,01010000206A080000EA95FDA8F12A2C416A2605590D9F5841
73,12,0,2019-07-17 07:17:35,2019-07-17 07:18:00,40981,40986,25,01010000206A0800002552ED31EBFD2B416C587DD8ECA25841
74,12,0,2019-07-17 10:01:14,2019-07-17 10:08:39,41059,41148,445,01010000206A080000CA08914702012C41D811366126A35841
75,12,0,2019-07-17 10:13:59,2019-07-17 16:12:12,41212,41229,21493,01010000206A080000246DEEE559FE2B412663937011A35841
76,12,0,2019-07-17 16:31:27,2019-07-18 06:37:07,41460,41949,50740,01010000206A080000D837D8BA26282C417EF5005F60A05841
77,12,0,2019-07-18 07:01:27,2019-07-18 07:04:17,42241,42275,170,01010000206A080000B1D7B3F648E92B41C16ED88D66A25841
78,12,0,2019-07-18 07:12:17,2019-07-18 08:37:07,42371,43240,5090,01010000206A080000D8164FE62DE62B417CAD507030A05841
79,12,0,2019-07-18 08:45:07,2019-07-18 08:46:27,43287,43292,80,01010000206A0800007CC5B441B4E62B41640D06A804A05841
80,12,0,2019-07-18 08:50:57,2019-07-18 09:57:41,43323,43487,4004,01010000206A08000080F196C135E62B411F1AE32031A05841
81,12,0,2019-07-18 10:26:39,2019-07-18 12:36:44,43536,44445,7805,01010000206A080000FC9CF34AECE62B41FD6F758934A05841
82,12,0,2019-07-18 12:53:54,2019-07-18 13:14:54,44608,44640,1260,01010000206A080000515A828C7CFE2B41EE55AC6DF1A25841
83,12,0,2019-07-18 13:17:04,2019-07-18 16:21:51,44666,44776,11087,01010000206A08000087024135E0FD2B41CDDF52A102A35841
84,12,0,2019-07-18 16:31:41,2019-07-18 16:33:11,44894,44912,90,01010000206A080000F4291B8B19EA2B41BC8C02DC79A25841
85,12,0,2019-07-18 16:39:21,2019-07-18 16:40:16,44986,44997,55,01010000206A08000002DEC087D1E42B4135A24B264BA25841
86,12,0,2019-07-18 16:45:31,2019-07-18 16:45:31,45060,45060,0,01010000206A080000C270ED3162E02B410CC847EE64A25841
87,12,0,2019-07-18 16:48:11,2019-07-18 17:27:41,45092,45550,2370,01010000206A080000C047FC4195E12B41477609FC59A25841
88,12,0,2019-07-18 17:33:16,2019-07-18 17:33:36,45617,45621,20,01010000206A08000089E4776262E32B41CB182B6B99A25841
89,12,0,2019-07-18 17:36:56,2019-07-18 17:42:21,45661,45726,325,01010000206A080000CA465F855AE42B413A439D73D9A25841
90,12,0,2019-07-18 18:03:31,2019-07-18 18:03:56,45980,45985,25,01010000206A0800006447DE1BA4FE2B4192528CBDEFA25841
91,12,0,2019-07-18 18:18:21,2019-07-19 05:54:36,46158,46257,41775,01010000206A080000CA04B6091B282C415C4A30355FA05841
92,12,0,2019-07-19 06:11:26,2019-07-19 08:19:35,46458,46499,7689,01010000206A080000FABB71D1DEFD2B4193B0CFAE05A35841
93,12,0,2019-07-19 08:24:04,2019-07-19 10:54:32,46553,47873,9028,01010000206A08000052B733D02C012C41CDFC1783E9A25841
94,12,0,2019-07-19 11:00:07,2019-07-19 11:03:02,47887,47910,175,01010000206A080000C1305E5087012C41E65838C2FDA25841
95,12,0,2019-07-19 11:07:57,2019-07-19 11:37:37,47969,48325,1780,01010000206A0800005CDF1A8FBB002C41931C653631A35841
96,12,0,2019-07-19 16:07:31,2019-07-19 16:17:11,48421,48500,580,01010000206A0800002AED70D9B1FD2B4158FE6D2C07A35841
97,12,0,2019-07-19 16:18:41,2019-07-19 17:49:24,48518,49595,5443,01010000206A080000765335B5CEFA2B4170EAEBA0E4A25841
98,12,0,2019-07-19 18:04:49,2019-07-19 19:48:29,49780,51023,6220,01010000206A0800000874265D30282C414AF2AD2A5EA05841
